anio,entidad_federativa,municipio,localidad,cct,nombre,ambito,nivel,anio_creacion,antiguedad,alimentacion_agua,bebederos,descarga_agua_residual,con_luz,telefonia_fija,internet,nivel_accesibilidad,wc_alumnos,wc_alumnas,wc_discapacitados,wc_docentes,condicion_fis_wc,num_aulas,estructuras_atipicas,num_edificios,plan_proteccion_civil,mesa_binaria,mesa,silla,silla_paleta,mesa_banco,mesa_banco_binario,pizarron,computadora,laptop,cancha_deportiva,cubierta_techumbre_ext,fn_nombre,entidad_federativa_etq
2022,BAJA CALIFORNIA SUR,COMONDÚ,LA POZA GRANDE,03DTV0006N,TELESECUNDARIA 6 ANDRES CESEÑA CAMACHO,RURAL,SECUNDARIA,2006,11 A 20 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,4,0,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,20,0,40,0,0,0,4,26,4,CON CANCHA,CON TECHUMBRE,,Baja California Sur
2022,BAJA CALIFORNIA SUR,COMONDÚ,VILLA IGNACIO ZARAGOZA,03DES0020A,GENERAL AGUSTIN OLACHEA AVILES,RURAL,SECUNDARIA,1963,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,4,5,0,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,14,40,140,0,0,7,38,1,CON CANCHA,CON TECHUMBRE,,Baja California Sur
2022,TABASCO,MACUSPANA,SANTUARIO 1RA. SECCIÓN (ESTACIÓN MACUSPANA),27DPR0719V,HEROE DE NACOZARI,RURAL,PRIMARIA,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,NULA,2,3,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,0,0,100,0,0,5,0,0,CON CANCHA,SIN TECHUMBRE,,Tabasco
2022,GUERRERO,TLAPA DE COMONFORT,CHIEPETEPEC,12DPB0921E,KUAYAUTITAL,RURAL,PRIMARIA,1988,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,4,3,1,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 8 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,8,10,300,0,0,8,0,0,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,XALPATLÁHUAC,ZACATIPA,12DPB0083Z,MAXIMO GORKI,RURAL,PRIMARIA,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,2,1,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,2,8,154,0,0,6,6,0,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,SAN LUIS ACATLÁN,PAJARITO GRANDE (PÁJARO GRANDE),12DPB0039M,REVOLUCION SOCIAL,RURAL,PRIMARIA,1988,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 6 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,4,4,52,0,15,4,0,0,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,COPALILLO,COPALILLO,12DJN0370D,LAS PUERTAS DEL SABER,URBANO,PREESCOLAR,1981,41 A 50 AÑOS,PIPAS,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,0,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,17,0,35,0,0,0,3,0,0,SIN CANCHA,CON TECHUMBRE,,Guerrero
2022,CHIAPAS,UNIÓN JUÁREZ,ONCE DE ABRIL,07DES0018I,IGNACIO ZARAGOZA,URBANO,SECUNDARIA,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,4,6,0,2,BUENAS,6 A 11 AULAS,SIN ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,40,40,40,248,0,0,8,0,0,CON CANCHA,CON TECHUMBRE,,Chiapas
2022,GUERRERO,QUECHULTENANGO,EL TEJORUCO,12DPB0873L,LIC. BENITO JUAREZ,RURAL,PRIMARIA,1982,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,2,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,7,12,118,0,0,7,0,0,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,QUINTANA ROO,OTHÓN P. BLANCO,TOMÁS GARRIDO CANABAL,23DPR0251M,JOSE MARIA MORELOS,RURAL,PRIMARIA,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,NULA,1,3,0,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,90,90,0,0,0,3,0,0,SIN CANCHA,SIN TECHUMBRE,,Quintana Roo
